date,tasa_de_interes
2003-10-02,11.1603
2003-10-03,11.2473
2003-10-06,11.2193
2003-10-07,11.2923
2003-10-08,11.249
2003-10-09,11.2356
2003-10-10,11.1946
2003-10-13,11.1853
2003-10-14,11.2347
2003-10-15,11.1785
2003-10-16,11.2472
2003-10-17,11.2802
2003-10-20,11.1748
2003-10-21,11.1397
2003-10-22,11.2178
2003-10-23,11.181
2003-10-24,11.1784
2003-10-27,11.1068
2003-10-28,11.0693
2003-10-29,11.1078
2003-10-30,11.1058
2003-10-31,11.0525
2003-11-03,10.9881
2003-11-04,10.9998
2003-11-05,10.9829
2003-11-06,10.9903
2003-11-07,10.9688
2003-11-10,11.0097
2003-11-11,10.9582
2003-11-12,11.0582
2003-11-13,11.1757
2003-11-14,11.1442
2003-11-17,11.1823
2003-11-18,11.1643
2003-11-19,11.2094
2003-11-21,11.2058
2003-11-24,11.2879
2003-11-25,11.3398
2003-11-26,11.3522
2003-11-27,11.3385
2003-11-28,11.3985
2003-12-01,11.3783
2003-12-02,11.3535
2003-12-03,11.2496
2003-12-04,11.2224
2003-12-05,11.1959
2003-12-08,11.2391
2003-12-09,11.1635
2003-12-10,11.2145
2003-12-11,11.1877
2003-12-15,11.2728
2003-12-16,11.3061
2003-12-17,11.2676
2003-12-18,11.2193
2003-12-19,11.2295
2003-12-22,11.2855
2003-12-23,11.2696
2003-12-24,11.2744
2003-12-26,11.218
2003-12-29,11.236
2003-12-30,11.1998
2003-12-31,11.2372
2004-01-02,11.0885
2004-01-05,10.9805
2004-01-06,10.9686
2004-01-07,10.9044
2004-01-08,10.8847
2004-01-09,10.8376
2004-01-12,10.818
2004-01-13,10.8369
2004-01-14,10.8231
2004-01-15,10.8514
2004-01-16,10.8172
2004-01-19,10.8264
2004-01-20,10.847
2004-01-21,10.9521
2004-01-22,11.0012
2004-01-23,10.962
2004-01-26,10.9178
2004-01-27,10.8789
2004-01-28,10.9145
2004-01-29,11.0843
2004-01-30,11.0214
2004-02-02,10.9545
2004-02-03,11.082
2004-02-04,11.0608
2004-02-06,11.1305
2004-02-09,11.1039
2004-02-10,11.1069
2004-02-11,10.9866
2004-02-12,10.9626
2004-02-13,10.9627
2004-02-16,10.9434
2004-02-17,10.9337
2004-02-18,10.9058
2004-02-19,10.9688
2004-02-20,10.9423
2004-02-23,10.9437
2004-02-24,11.0558
2004-02-25,11.0932
2004-02-26,11.0715
2004-02-27,11.0606
2004-03-01,10.9794
2004-03-02,10.9623
2004-03-03,11.0301
2004-03-04,10.9955
2004-03-05,10.9393
2004-03-08,10.9329
2004-03-09,10.9695
2004-03-10,10.9368
2004-03-11,10.9633
2004-03-12,10.9638
